label,area,mean_intensity,integrated_density,filename,age,channel,region
1,4.0,232.5,930.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
2,28.0,148.42857142857142,4156.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
3,5.0,129.0,645.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
4,21.0,133.8095238095238,2809.9999999999995,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
5,5.0,127.8,639.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
6,7.0,119.42857142857143,836.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
7,1.0,135.0,135.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
8,3.0,205.33333333333334,616.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
9,113.0,193.27433628318585,21840.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
10,3.0,190.0,570.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
11,7.0,107.28571428571429,751.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
12,126.0,197.984126984127,24946.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
13,61.0,212.72131147540983,12976.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
14,41.0,166.0487804878049,6808.000000000001,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
15,1.0,105.0,105.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
16,1.0,91.0,91.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
17,1.0,226.0,226.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
18,1.0,100.0,100.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
19,4.0,214.5,858.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
20,6.0,161.83333333333334,971.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
21,7.0,131.42857142857142,919.9999999999999,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
22,9.0,120.88888888888889,1088.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
23,6.0,120.83333333333333,725.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
24,1.0,126.0,126.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
25,1.0,128.0,128.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
26,5.0,125.8,629.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
27,6.0,149.66666666666666,898.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
28,1.0,72.0,72.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
29,1.0,94.0,94.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
30,6.0,156.5,939.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
31,111.0,189.99099099099098,21089.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
32,1.0,119.0,119.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
33,8.0,152.25,1218.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
34,7.0,171.85714285714286,1203.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
35,30.0,118.03333333333333,3541.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
36,17.0,140.94117647058823,2396.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
37,4.0,139.75,559.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
38,10.0,116.6,1166.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
39,3.0,123.66666666666667,371.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
40,20.0,200.55,4011.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
41,5.0,199.2,996.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
42,1.0,186.0,186.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
43,8.0,120.5,964.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
44,166.0,237.16867469879517,39370.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
45,112.0,192.32142857142858,21540.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
46,1.0,154.0,154.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
47,2.0,109.0,218.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
48,2.0,135.0,270.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
49,7.0,200.57142857142858,1404.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
50,10.0,248.1,2481.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
51,4.0,114.5,458.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
52,1.0,141.0,141.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
53,18.0,136.38888888888889,2455.0,J995_AR _B4_slice6-Ort.czi,adult,gal,upper
