label,area,mean_intensity,integrated_density,filename,age,channel,region
1,18.0,108.16666666666667,1947.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
2,47.0,132.91489361702128,6247.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
3,3.0,111.33333333333333,334.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
4,15.0,81.06666666666666,1216.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
5,70.0,162.81428571428572,11397.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
6,54.0,142.9814814814815,7721.000000000001,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
7,75.0,122.34666666666666,9176.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
8,5.0,150.2,751.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
9,3.0,145.66666666666666,437.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
10,2.0,39.0,78.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
11,1.0,156.0,156.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
12,4.0,108.25,433.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
13,10.0,104.1,1041.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
14,5.0,117.8,589.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
15,1.0,95.0,95.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
16,4.0,116.75,467.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
17,14.0,109.07142857142857,1527.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
18,54.0,176.33333333333334,9522.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
19,28.0,118.92857142857143,3330.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
20,41.0,167.65853658536585,6874.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
21,22.0,99.18181818181819,2182.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
22,42.0,103.4047619047619,4343.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
23,29.0,151.6206896551724,4397.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
24,62.0,125.66129032258064,7791.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
25,23.0,126.65217391304348,2913.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
26,21.0,114.61904761904762,2407.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
27,68.0,150.9558823529412,10265.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
28,49.0,144.0408163265306,7058.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
29,53.0,94.54716981132076,5011.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
30,52.0,199.09615384615384,10353.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
31,52.0,156.44230769230768,8134.999999999999,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
32,22.0,148.5,3267.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
33,2.0,49.0,98.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
34,23.0,137.47826086956522,3162.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
35,41.0,147.5609756097561,6050.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
36,49.0,178.22448979591837,8733.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
37,34.0,175.5,5967.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
38,23.0,132.47826086956522,3047.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
39,26.0,157.65384615384616,4099.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
40,33.0,104.60606060606061,3452.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
41,275.0,161.50545454545454,44414.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
42,25.0,91.12,2278.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
43,1.0,119.0,119.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
44,24.0,113.625,2727.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
45,36.0,104.47222222222223,3761.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
46,6.0,110.33333333333333,662.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
47,18.0,186.66666666666666,3360.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
48,59.0,122.08474576271186,7203.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
49,5.0,129.8,649.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
50,43.0,118.67441860465117,5103.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
51,36.0,128.13888888888889,4613.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
52,189.0,130.16931216931218,24602.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
53,54.0,130.62962962962962,7053.999999999999,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
54,4.0,53.5,214.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
55,6.0,132.5,795.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
56,15.0,163.6,2454.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
57,94.0,117.43617021276596,11039.0,J995_AR _B4_slice6-Ort.czi,adult,glp1r,lower
