label,area,mean_intensity,integrated_density,filename,age,channel,region
1,188.0,242.17021276595744,45528.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
2,173.0,247.39306358381504,42799.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
3,100.0,249.03,24903.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
4,125.0,237.92,29740.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
5,153.0,242.8562091503268,37157.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
6,75.0,184.81333333333333,13861.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
7,11.0,255.0,2805.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
8,80.0,238.0125,19041.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
9,212.0,235.94811320754718,50021.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
10,40.0,195.5,7820.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
11,280.0,241.39285714285714,67590.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
12,120.0,244.625,29355.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
13,103.0,241.28155339805826,24852.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
14,198.0,245.54545454545453,48618.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
15,26.0,243.0,6318.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
16,35.0,246.68571428571428,8634.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
17,90.0,248.15555555555557,22334.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
18,21.0,239.76190476190476,5035.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
19,92.0,247.2391304347826,22746.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
20,36.0,182.05555555555554,6554.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
21,93.0,238.32258064516128,22164.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
22,105.0,240.17142857142858,25218.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
23,141.0,239.93617021276594,33831.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
24,120.0,240.975,28917.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
25,179.0,240.75977653631284,43096.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
26,171.0,245.53801169590642,41987.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
27,156.0,234.57692307692307,36594.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
28,106.0,217.39622641509433,23044.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
29,57.0,234.73684210526315,13380.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
30,111.0,251.7117117117117,27940.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
31,155.0,243.6451612903226,37765.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
32,169.0,248.2662721893491,41957.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
33,192.0,246.44270833333334,47317.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
34,324.0,243.10802469135803,78767.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
35,38.0,236.92105263157896,9003.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
36,35.0,249.17142857142858,8721.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
37,68.0,223.9558823529412,15229.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
38,92.0,244.0326086956522,22451.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
39,167.0,247.2754491017964,41295.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
40,210.0,241.57142857142858,50730.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
41,45.0,248.53333333333333,11184.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
42,179.0,244.9441340782123,43845.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
43,145.0,247.58620689655172,35900.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
44,61.0,244.45901639344262,14912.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
45,174.0,247.32183908045977,43034.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
46,54.0,243.33333333333334,13140.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
47,91.0,211.86813186813185,19280.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
48,37.0,233.1081081081081,8625.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
49,154.0,240.0194805194805,36963.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
50,139.0,249.9928057553957,34749.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
51,95.0,246.38947368421051,23407.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
52,208.0,248.0625,51597.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
53,344.0,237.00290697674419,81529.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
54,338.0,241.18639053254438,81521.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
55,114.0,245.16666666666666,27949.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
56,284.0,232.5,66030.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
57,181.0,242.06629834254144,43814.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
58,18.0,239.5,4311.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
59,214.0,243.97196261682242,52210.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
60,46.0,230.08695652173913,10584.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
61,63.0,199.25396825396825,12553.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
62,244.0,241.0737704918033,58822.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
63,9.0,218.77777777777777,1969.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
64,125.0,239.176,29897.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
65,34.0,228.8235294117647,7780.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
66,38.0,212.76315789473685,8085.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
67,88.0,241.4318181818182,21246.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
68,178.0,236.06179775280899,42019.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
69,206.0,238.25728155339806,49081.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
70,60.0,249.53333333333333,14972.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
71,115.0,246.3217391304348,28327.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
72,129.0,246.45736434108528,31793.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
73,19.0,206.0,3914.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
74,175.0,241.06285714285715,42186.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
75,30.0,249.9,7497.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
76,6.0,222.5,1335.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
77,328.0,245.5579268292683,80543.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
78,103.0,244.85436893203882,25220.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
79,96.0,234.25,22488.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
80,210.0,242.48095238095237,50921.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
81,178.0,233.26404494382024,41521.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
82,95.0,197.94736842105263,18805.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
83,176.0,243.48863636363637,42854.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
84,310.0,232.33870967741936,72025.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
85,68.0,244.02941176470588,16594.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
86,113.0,244.24778761061947,27600.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
87,50.0,231.62,11581.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
88,247.0,237.71255060728745,58715.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
89,245.0,239.73061224489797,58734.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
90,83.0,240.87951807228916,19993.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
91,268.0,246.36194029850745,66025.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
92,107.0,244.53271028037383,26165.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
93,57.0,234.21052631578948,13350.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
94,214.0,235.3785046728972,50371.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
95,184.0,239.34782608695653,44040.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
96,187.0,248.6951871657754,46506.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
97,202.0,247.23267326732673,49941.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
98,81.0,230.50617283950618,18671.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
99,123.0,244.2520325203252,30043.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
100,187.0,239.9090909090909,44863.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
101,13.0,252.76923076923077,3286.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
102,116.0,247.8793103448276,28754.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
103,193.0,247.87046632124353,47839.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
104,73.0,238.12328767123287,17383.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
105,244.0,232.5327868852459,56738.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
106,106.0,220.5188679245283,23375.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
107,166.0,239.04819277108433,39682.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
108,65.0,246.47692307692307,16021.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
109,173.0,242.07514450867052,41879.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
110,54.0,244.72222222222223,13215.0,F656_ARC _B3_slice3-Ort.czi,old,pomc,lower
